embryo_id,time_idx,cell_name,x_um,y_um,z_um,nuclear_diameter_um,valid,n_cells_frame,source_file,canonical_time
OOS_SPIMA_P4,17,ABar,19.494,21.66,18.75,4.4403,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,17,ABal,12.7794,13.3209,23.25,4.2237,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,17,MS,21.9849,9.4221,18.0,4.007099999999999,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,17,E,33.1398,11.2632,22.5,3.5738999999999996,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,17,ABpl,24.3675,16.6782,28.5,4.2237,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,17,ABpr,29.3493,16.028399999999998,15.0,4.656899999999999,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,18,C,34.9809,19.3857,25.5,3.3573,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,P3,38.6631,10.3968,21.0,3.1407,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,ABar,20.0355,21.9849,18.0,3.5738999999999996,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,ABal,12.4545,12.4545,21.75,3.3573,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,MS,22.0932,9.6387,18.0,4.2237,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,E,32.8149,11.1549,22.5,3.5738999999999996,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,ABpl,23.501099999999997,16.028399999999998,29.25,3.1407,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,18,ABpr,29.4576,16.244999999999997,14.25,4.2237,1,8,t018-nuclei,28.5
OOS_SPIMA_P4,19,C,34.1145,19.1691,27.0,3.5738999999999996,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,P3,38.4465,10.83,21.75,3.1407,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,ABar,21.335099999999997,20.0355,19.5,2.9240999999999997,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,ABal,13.5375,12.3462,19.5,2.9240999999999997,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,MS,22.4181,9.4221,17.25,4.007099999999999,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,E,32.273399999999995,10.3968,22.5,3.3573,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,ABpl,21.7683,15.703499999999998,27.0,2.7075,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,19,ABpr,30.5406,16.4616,16.5,2.9240999999999997,1,8,t019-nuclei,30.75
OOS_SPIMA_P4,20,ABplp,23.825999999999997,14.7288,27.0,1.8411,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABala,12.1296,15.0537,21.75,2.0577,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,C,33.3564,20.2521,25.5,3.7905,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,P3,38.8797,12.0213,22.5,3.1407,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABara,19.9272,18.5193,18.0,2.2743,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABarp,21.7683,21.66,20.25,2.2743,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABalp,13.7541,11.5881,21.0,2.2743,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,MS,21.7683,8.8806,17.25,4.2237,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,E,32.706599999999995,10.5051,23.25,4.2237,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABpla,21.0102,17.1114,26.25,1.8411,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABpra,28.2663,16.6782,15.0,2.2743,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,20,ABprp,30.757199999999997,14.079,16.5,2.0577,1,12,t020-nuclei,35.25
OOS_SPIMA_P4,21,ABplp,24.4758,14.9454,27.0,2.2743,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABala,11.4798,14.2956,22.5,2.2743,1,12,t021-nuclei,36.0
