frame_id,slice_id,cost,avg_cost,canonical_time,map_time,is_generated,init_angle,start_rank,mean_entropy,slack_count,mean_confidence,num_cells_assigned,config_name,embryo_id,time_idx,set_match,set_accuracy,positional_accuracy,num_gt_cells,num_pred_cells
OOS_SPIMA_P4_tid45,22,91.68720513613158,3.5264309667742917,63.0,67.96923076923076,False,188.0,1,0.010808441878380433,0,0.8644942463119786,26,production_model,OOS_SPIMA_P4,45,1.0,1.0,1.0,26,26
OOS_SPIMA_P4_tid46,22,82.54541936541499,3.17482382174673,63.0,67.96923076923076,False,188.0,1,0.009937567122076383,0,0.8617455415648312,26,production_model,OOS_SPIMA_P4,46,1.0,1.0,1.0,26,26
OOS_SPIMA_P4_tid47,22,91.56574743323226,3.521759516662779,63.0,67.96923076923076,False,184.0,1,0.012083166702928501,0,0.8574750617915503,26,production_model,OOS_SPIMA_P4,47,1.0,1.0,1.0,26,26
OOS_SPIMA_P4_tid48,22,98.68643193591618,3.7956319975352377,66.0,67.96923076923076,False,184.0,1,0.013789544419038137,0,0.8552936075903369,26,production_model,OOS_SPIMA_P4,48,1.0,1.0,1.0,26,26
OOS_SPIMA_P4_tid49,25,80.96145172818952,2.9985722862292414,70.5,75.0,False,188.0,1,0.014132491027473479,0,0.8647323103298027,27,production_model,OOS_SPIMA_P4,49,1.0,1.0,1.0,27,27
OOS_SPIMA_P4_tid50,26,73.54679125794175,2.6266711163550625,70.5,77.0657894736842,False,192.00000000000003,1,0.005511434626774149,0,0.8771655332999694,28,production_model,OOS_SPIMA_P4,50,1.0,1.0,1.0,28,28
OOS_SPIMA_P4_tid51,26,75.00533220007121,2.6787618642882576,70.5,77.0657894736842,False,192.00000000000003,1,0.0038780597962188336,0,0.8840245826870303,28,production_model,OOS_SPIMA_P4,51,1.0,1.0,1.0,28,28
OOS_SPIMA_P4_tid52,26,78.91914970406968,2.8185410608596313,70.5,77.0657894736842,False,192.00000000000003,1,0.0002587791004256145,0,0.8900585610156485,28,production_model,OOS_SPIMA_P4,52,1.0,1.0,1.0,28,28
OOS_SPIMA_P4_tid53,26,85.02465694557061,3.036594890913236,72.75,77.0657894736842,False,188.0,1,0.0007753790681178793,0,0.8868197503596612,28,production_model,OOS_SPIMA_P4,53,1.0,1.0,1.0,28,28
OOS_SPIMA_P4_tid54,29,125.30280974794236,4.320786543032495,75.0,80.0,False,188.0,1,0.04677858146820275,0,0.8100560682578919,29,production_model,OOS_SPIMA_P4,54,0.0,0.896551724137931,0.8620689655172413,29,29
OOS_SPIMA_P4_tid55,31,239.18016248647797,7.4743800777024365,76.5,80.0,False,184.0,1,0.24948262331180066,0,0.5760908175112329,32,production_model,OOS_SPIMA_P4,55,0.0,0.8125,0.78125,32,32
OOS_SPIMA_P4_tid56,46,246.20624011555316,6.005030246720809,78.0,81.0,False,192.00000000000003,1,0.30497326345317144,0,0.5598778776949179,41,production_model,OOS_SPIMA_P4,56,0.0,0.7804878048780488,0.6829268292682927,41,41
OOS_SPIMA_P4_tid57,57,183.78169781173386,3.995254300255084,79.5,85.5,False,196.0,1,0.038233579988594155,0,0.9068420557573554,46,production_model,OOS_SPIMA_P4,57,0.0,0.9347826086956522,0.9130434782608695,46,46
OOS_SPIMA_P4_tid58,57,152.53350015295428,3.315945655499006,81.0,85.5,False,196.0,1,0.023453553272727527,0,0.9237300774489714,46,production_model,OOS_SPIMA_P4,58,0.0,0.9347826086956522,0.9130434782608695,46,46
OOS_SPIMA_P4_tid59,57,163.40635580362,3.552312082687391,83.25,85.5,False,196.0,1,0.061850601280138175,0,0.8910443476190169,46,production_model,OOS_SPIMA_P4,59,0.0,0.9347826086956522,0.9130434782608695,46,46
OOS_SPIMA_P4_tid60,57,173.67128356635604,3.7754626862251315,84.0,85.5,False,196.0,1,0.08006770165439181,0,0.8676074632527779,46,production_model,OOS_SPIMA_P4,60,0.0,0.9347826086956522,0.9130434782608695,46,46
OOS_SPIMA_P4_tid61,57,151.74880230047253,3.2988870065320115,84.0,85.5,False,196.0,1,0.08156788017305215,0,0.8640610521356302,46,production_model,OOS_SPIMA_P4,61,0.0,0.9347826086956522,0.9130434782608695,46,46
OOS_SPIMA_P4_tid62,57,133.36087657709328,2.8991494908063755,84.0,85.5,False,196.0,1,0.09673111145440397,0,0.8581265693513089,46,production_model,OOS_SPIMA_P4,62,0.0,0.9347826086956522,0.9130434782608695,46,46
OOS_SPIMA_P4_tid63,52,134.5192025822141,2.9243304909176975,84.75,88.52173913043478,False,200.0,1,0.024897309647947934,0,0.919780031723319,46,production_model,OOS_SPIMA_P4,63,1.0,1.0,1.0,46,46
OOS_SPIMA_P4_tid64,53,137.2439792674399,2.9200846652646786,87.0,93.0,False,204.0,1,0.027808629140323487,0,0.9123051090195895,47,production_model,OOS_SPIMA_P4,64,1.0,1.0,1.0,47,47
OOS_SPIMA_P4_tid65,61,132.26415495851637,2.6992684685411503,88.5,93.8,False,200.0,1,0.025707701747299246,0,0.918803767867768,49,production_model,OOS_SPIMA_P4,65,1.0,1.0,1.0,49,49
OOS_SPIMA_P4_tid66,64,202.63916106853475,3.97331688369676,90.0,97.45652173913044,False,220.0,2,0.06426605425451645,0,0.8621298099750205,51,production_model,OOS_SPIMA_P4,66,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid67,64,213.47334807717522,4.185751923081867,90.0,97.45652173913044,False,216.0,3,0.056069582215667706,0,0.8805738634969302,51,production_model,OOS_SPIMA_P4,67,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid68,64,199.841951605974,3.9184696393328236,90.0,97.45652173913044,False,216.0,1,0.04314401957917199,0,0.898286300867647,51,production_model,OOS_SPIMA_P4,68,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid69,64,208.048540743862,4.079383151840431,90.0,97.45652173913044,False,216.0,2,0.051657659126977826,0,0.883521721085539,51,production_model,OOS_SPIMA_P4,69,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid70,64,209.53779337288506,4.10858418378206,90.0,97.45652173913044,False,216.0,2,0.048750948941047756,0,0.8915652441957826,51,production_model,OOS_SPIMA_P4,70,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid71,64,217.62879397123203,4.267231254337883,90.0,97.45652173913044,False,216.0,2,0.05857770438994303,0,0.876337742248975,51,production_model,OOS_SPIMA_P4,71,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid72,64,200.6245356329707,3.933814424175896,90.0,97.45652173913044,False,212.0,1,0.044182418828568944,0,0.8908883664033848,51,production_model,OOS_SPIMA_P4,72,1.0,1.0,1.0,51,51
OOS_SPIMA_P4_tid73,64,200.64269173582534,3.9341704261926536,90.0,97.45652173913044,False,216.0,1,0.043376802049956906,0,0.9033411439550559,51,production_model,OOS_SPIMA_P4,73,1.0,1.0,1.0,51,51
